peak_id|peak_name|alt_names|height|location|approximate_coordinates|longitude|latitude|dms_longitude|dms_latitude|coordinate_notes|himal
KAN1|Kande Hiunchuli North  I|Kande Hiun Chuli|6521|Kanjiroba Himal (NW of Kanjiroba)|Y|82.5602778|29.4113889|82° 33′ 37.00000″ E|29° 24′ 41.00000″ N|MoTCA: (29° 24′ 41.00000″ N, 82° 33′ 37.00000″ E)|KANJIROBA
KAN2|Kande Hiunchuli North  II|Kande Hiun Chuli|6471|Kanjiroba Himal (NW of Kanjiroba)|Y|82.5602778|29.4113889|82° 33′ 37.00000″ E|29° 24′ 41.00000″ N|MoTCA: (29° 24′ 41.00000″ N, 82° 33′ 37.00000″ E)|KANJIROBA
KANB|Kangbachen|Kambachen|7902|Kangchenjunga Himal (W Spur of Kangchenjunga)|Y|88.1127778|27.7163889|88° 06′ 46.00000″ E|27° 42′ 59.00000″ N|MoTCA: (27° 42′ 59.00000″ N, 88° 06′ 46.00000″ E)|NORTHERN
KANC|Kangchenjunga Central|Kanchenjunga,Kanchenjunga Central,Kangchenjunga|8473|Kangchenjunga Himal (between Main and South summits)|N|88.1483408|27.7026008|88° 08′ 54.02688″ E|27° 42′ 09.36288″ N|"OSM: (27° 42′ 09.36288″ N, 88° 08′ 54.02688″ E)
MoTCA: (27° 41′ 46.00000″ N, 88° 09′ 12.00000″ E)"|NORTHERN
KAND|Kande Hiunchuli|Kande Hiun Chuli,Kande Hiuchuli|6627|Kanjiroba Himal (WNW of Kanjiroba)|N|82.5601656|29.4119774|82° 33′ 36.59616″ E|29° 24′ 43.11864″ N|"OSM: (29° 24′ 43.11864″ N, 82° 33′ 36.59616″ E)
MoTCA: (29° 24′ 41.00000″ N, 82° 33′ 37.00000″ E)"|KANJIROBA
KANG|Kangchenjunga|Kanchenjunga,Kanchenjunga Central|8586|Kangchenjunga Himal|N|88.1483408|27.7026008|88° 08′ 54.02688″ E|27° 42′ 09.36288″ N|"OSM: (27° 42′ 09.36288″ N, 88° 08′ 54.02688″ E)
MoTCA: (27° 41′ 46.00000″ N, 88° 09′ 12.00000″ E)"|NORTHERN
KANS|Kangchenjunga South|Kanchenjunga,Kanchenjunga South,Kangchenjunga|8476|Kangchenjunga Himal|N|88.1483408|27.7026008|88° 08′ 54.02688″ E|27° 42′ 09.36288″ N|"OSM: (27° 42′ 09.36288″ N, 88° 08′ 54.02688″ E)
MoTCA: (27° 41′ 32.00000″ N, 88° 09′ 23.00000″ E)"|NORTHERN
KARY|Karyolung||6530|Rolwaling Himal (SE of Numbur)|Y|86.6141667|27.7333333|86° 36′ 51.00000″ E|27° 44′ 00.00000″ N|MoTCA: (27° 44′ 00.00000″ N, 86° 36′ 51.00000″ E)|ROLWALING
KCHN|Kangchung Nup|Khangchung Nup,Kangcho Nup,UIAA Peak,Khangchung,Cholo|6043|Khumbu Himal (NE of Gokyo Lake)|Y|86.7397222|27.9836111|86° 44′ 23.00000″ E|27° 59′ 01.00000″ N|MoTCA: (27° 59′ 01.00000″ N, 86° 44′ 23.00000″ E)|KHUMBU
NAYA|Naya Kanga|Ghanja La Chuli,Kangja Chuli|5863|Jugal Himal (W of Ganchempo by Kangja La)|N|85.5483906|28.168624|85° 32′ 54.20616″ E|28° 10′ 07.04640″ N|"OSM: (28° 10′ 07.04640″ N, 85° 32′ 54.20616″ E)
MoTCA: (28° 10′ 06.00000″ N, 85° 33′ 05.00000″ E)"|JUGAL
KGUR|Kang Guru|Kang Garu,Naurgaon|6981|Peri Himal (SW of Himlung Himal)|Y|84.3041667|28.6586111|84° 18′ 15.00000″ E|28° 39′ 31.00000″ N|MoTCA: (28° 39′ 31.00000″ N, 84° 18′ 15.00000″ E)|PERI
KHAT|Khatang||6790|Rolwaling Himal (E of Numbur)|Y|86.5983333|27.7575|86° 35′ 54.00000″ E|27° 45′ 27.00000″ N|MoTCA: (27° 45′ 27.00000″ N, 86° 35′ 54.00000″ E)|ROLWALING
KHON|Khongma Tse|Mehra,Mehra Peak|5798|Khumbu Himal (SW of Nuptse)|Y|86.8505556|27.9477778|86° 51′ 02.00000″ E|27° 56′ 52.00000″ N|MoTCA: (27° 56′ 52.00000″ N, 86° 51′ 02.00000″ E)|KHUMBU
KJER|Kanjeralwa|Kanchen Ruwa,Kanjerawa|6612|Kanjiroba Himal (NW of Phoksumdo Tal)|N|82.7897262|29.2371829|82° 47′ 23.01432″ E|29° 14′ 13.85844″ N|"OSM: (29° 14′ 13.85844″ N, 82° 47′ 23.01432″ E)
MoTCA: (29° 13′ 48.00000″ N, 82° 52′ 12.00000″ E)"|KANJIROBA
KJRN|Kanjiroba North|Kanjiroba Himal|6858|Kanjiroba Himal|N|82.66667|29.41667|82° 40′ 00.01200″ E|29° 25′ 00.01200″ N|"OSM: (29° 25′ 00.01200″ N, 82° 40′ 00.01200″ E)
MoTCA: (29° 23′ 02.00000″ N, 82° 38′ 36.00000″ E)"|KANJIROBA
KJRS|Kanjiroba South|Kanjiroba Himal|6883|Kanjiroba Himal|N|82.66667|29.41667|82° 40′ 00.01200″ E|29° 25′ 00.01200″ N|"OSM: (29° 25′ 00.01200″ N, 82° 40′ 00.01200″ E)
MoTCA: (29° 22′ 32.00000″ N, 82° 38′ 26.00000″ E)"|KANJIROBA
KOTA|Kotang|Kothang Kang,Kokthang|6148|Simhalila Himal (SSW of Rothang on Indian border)|Y|88.0825|27.5636111|88° 04′ 57.00000″ E|27° 33′ 49.00000″ N|MoTCA: (27° 33′ 49.00000″ N, 88° 04′ 57.00000″ E)|SINGALILA
KTEG|Kangtega|Kang Taiga,Kantega,Khangtega|6783|Khumbu Himal (SW of Ama Dablam)|Y|86.8194444|27.7925|86° 49′ 10.00000″ E|27° 47′ 33.00000″ N|MoTCA: (27° 47′ 33.00000″ N, 86° 49′ 10.00000″ E)|BARUN
KTSU|Kangtsune|Kanchauni Lekh,Kangchunne|6444|Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)|||||||KANJIROBA
KUSU|Kusum Kanguru|Lamu,Kusum Kang,Kusum Kangguru|6370|Khumbu Himal (NE of Lukla village)|N|86.791863|27.7322274|86° 47′ 30.70680″ E|27° 43′ 56.01864″ N|"OSM: (27° 43′ 56.01864″ N, 86° 47′ 30.70680″ E)
MoTCA: (27° 43′ 50.00000″ N, 86° 47′ 28.00000″ E)"|BARUN
KWAN|Kwangde||6186|Rolwaling Himal (W of Namche Bazar)|Y|86.6344444|27.8002778|86° 38′ 04.00000″ E|27° 48′ 01.00000″ N|MoTCA: (27° 48′ 01.00000″ N, 86° 38′ 04.00000″ E)|ROLWALING
LAMJ|Lamjung Himal||6983|Annapurna Himal (SE of Annapurna II)|N|84.1886093|28.4895076|84° 11′ 18.99348″ E|28° 29′ 22.22736″ N|"OSM: (28° 29′ 22.22736″ N, 84° 11′ 18.99348″ E)
MoTCA: (28° 29′ 21.00000″ N, 84° 11′ 28.00000″ E)"|ANNAPURNA
LANG|Langtang Lirung|Langtang I,Langtang|7227|Langtang Himal|N|85.5168032|28.256616|85° 31′ 00.49152″ E|28° 15′ 23.81760″ N|"OSM: (28° 15′ 23.81760″ N, 85° 31′ 00.49152″ E)
MoTCA: (28° 15′ 22.00000″ N, 85° 31′ 10.00000″ E)"|LANGTANG
LANR|Langtang Ri||7205|Langtang Himal (NE of Langtang Lirung on Tibetan border)|N|85.6837887|28.3821284|85° 41′ 01.63932″ E|28° 22′ 55.66224″ N|"OSM: (28° 22′ 55.66224″ N, 85° 41′ 01.63932″ E)
MoTCA: (28° 22′ 56.00000″ N, 85° 41′ 11.00000″ E)"|LANGTANG
LEON|Leonpo Gang|Dorje Pahad,Big White Peak,Loenpo Gang|6979|Jugal Himal (NNE of Dorje Lhakpa on Tibetan border)|N|85.8001908|28.1964383|85° 48′ 00.68688″ E|28° 11′ 47.17788″ N|"OSM: (28° 11′ 47.17788″ N, 85° 48′ 00.68688″ E)
MoTCA: (28° 11′ 44.00000″ N, 85° 48′ 07.00000″ E)"|JUGAL
LHAS|Lha Shamma|Lhasharma,Pinnacle Peak|6412|Kagmara Lekh (S of Kanjiroba, NNW of Kagmara I)|Y|82.7472222|29.2258333|82° 44′ 50.00000″ E|29° 13′ 33.00000″ N|MoTCA: (29° 13′ 33.00000″ N, 82° 44′ 50.00000″ E)|KANJIROBA
LHOT|Lhotse|Lhotse Middle|8516|Khumbu Himal|N|86.9386871|27.9607748|86° 56′ 19.27356″ E|27° 57′ 38.78928″ N|"OSM: (27° 57′ 38.78928″ N, 86° 56′ 19.27356″ E)
MoTCA: (27° 57′ 43.00000″ N, 86° 56′ 12.00000″ E)"|KHUMBU
MUKT|Mukut Himal|Langru,Mukot Himal|6087|Mukut Himal (N of Sita Chuchura, S of Hongde)|N|83.4607345|28.7797894|83° 27′ 38.64420″ E|28° 46′ 47.24184″ N|"OSM: (28° 46′ 47.24184″ N, 83° 27′ 38.64420″ E)
MoTCA: (28° 49′ 01.00000″ N, 83° 28′ 56.00000″ E)"|DHAULAGIRI
LNPO|Langpo|Langpo Peak,Longpo|6965|Jongsang Himal (SE of Jongsang on Indian border)|N|88.1962277|27.8540227|88° 11′ 46.41972″ E|27° 51′ 14.48172″ N|"OSM: (27° 51′ 14.48172″ N, 88° 11′ 46.41972″ E)
MoTCA: (27° 51′ 12.00000″ N, 88° 11′ 56.00000″ E)"|NORTHERN
LOBE|Lobuje East|Lobuche,Lobuche East|6090|Khumbu Himal (SW of Pumori)|N|86.7816135|27.9691317|86° 46′ 53.80860″ E|27° 58′ 08.87412″ N|"OSM: (27° 58′ 08.87412″ N, 86° 46′ 53.80860″ E)
MoTCA: (27° 57′ 30.00000″ N, 86° 47′ 35.00000″ E)"|KHUMBU
LOBW|Lobuje West|Lobuche,Lobuche West|6135|Khumbu Himal (SW of Pumori)|N|86.7816135|27.9691317|86° 46′ 53.80860″ E|27° 58′ 08.87412″ N|"OSM: (27° 58′ 08.87412″ N, 86° 46′ 53.80860″ E)
MoTCA: (27° 58′ 08.00000″ N, 86° 47′ 05.00000″ E)"|KHUMBU
LSHR|Lhotse Shar|Lhotse II|8382|Khumbu Himal (ESE of Lhotse and Lhotse Middle)|N|86.9437467|27.9587111|86° 56′ 37.48812″ E|27° 57′ 31.35996″ N|"OSM: (27° 57′ 31.35996″ N, 86° 56′ 37.48812″ E)
MoTCA: (27° 57′ 30.00000″ N, 86° 56′ 44.00000″ E)"|KHUMBU
LSIS|Langshisa Ri|Lansisa Ri,Langsisa Ri|6412|Jugal Himal (NW of Dorje Lhakpa)|N|85.714613|28.2177782|85° 42′ 52.60680″ E|28° 13′ 04.00152″ N|"OSM: (28° 13′ 04.00152″ N, 85° 42′ 52.60680″ E)
MoTCA: (28° 13′ 01.00000″ N, 85° 42′ 59.00000″ E)"|JUGAL
MACH|Machhapuchhare||6993|Annapurna Himal (SE of Annapurna III)|||||||ANNAPURNA
BTAK|Bhairab Takura|Madiya Peak,Madiya|6799|Jugal Himal (ENE of Dorje Lhakpa on Tibetan border)|Y|85.8097222|28.1977778|85° 48′ 35.00000″ E|28° 11′ 52.00000″ N|MoTCA: (28° 11′ 52.00000″ N, 85° 48′ 35.00000″ E)|JUGAL
MAK2|Makalu II|Kangchungtse,Kangchug Tse|7678|Makalu Himal (NNW of Makalu on Tibetan border)|N|87.0804271|27.9140498|87° 04′ 49.53756″ E|27° 54′ 50.57928″ N|"OSM: (27° 54′ 50.57928″ N, 87° 04′ 49.53756″ E)
MoTCA: (27° 54′ 56.00000″ N, 87° 04′ 50.00000″ E)"|MAKALU
MAKA|Makalu|Kangchungtse,Makalu II,Makalu I|8485|Makalu Himal|N|87.0804271|27.9140498|87° 04′ 49.53756″ E|27° 54′ 50.57928″ N|"OSM: (27° 54′ 50.57928″ N, 87° 04′ 49.53756″ E)
MoTCA: (27° 53′ 21.00000″ N, 87° 05′ 27.00000″ E)"|MAKALU
MANA|Manaslu|Peak 30,Kutang,Pung Gyen,Kutang I|8163|Manaslu Himal|N|84.5597284|28.5499829|84° 33′ 35.02224″ E|28° 32′ 59.93844″ N|"OSM: (28° 32′ 59.93844″ N, 84° 33′ 35.02224″ E)
MoTCA: (28° 33′ 01.00000″ N, 84° 33′ 42.00000″ E)"|MANASLU
MANN|Manaslu North|Kutang,Manaslu II,Pung Gyen,Manaslu|6994|Manaslu Himal (N of Manaslu)|N|84.5597284|28.5499829|84° 33′ 35.02224″ E|28° 32′ 59.93844″ N|"OSM: (28° 32′ 59.93844″ N, 84° 33′ 35.02224″ E)
MoTCA: (28° 34′ 40.00000″ N, 84° 33′ 02.00000″ E)"|MANASLU
MANP|Manapathi||6380|Dhaulagiri Himal (SSW of Dhaulagiri I)|Y|83.4588889|28.6455556|83° 27′ 32.00000″ E|28° 38′ 44.00000″ N|MoTCA: (28° 38′ 44.00000″ N, 83° 27′ 32.00000″ E)|DHAULAGIRI
MARD|Mardi Himal||5553|Annapurna Himal (SW of Machhapuchhare)|N|83.9275346|28.4737691|83° 55′ 39.12456″ E|28° 28′ 25.56876″ N|"OSM: (28° 28′ 25.56876″ N, 83° 55′ 39.12456″ E)
MoTCA: (28° 28′ 23.00000″ N, 83° 55′ 51.00000″ E)"|ANNAPURNA
MERA|Mera Peak|"""False"" Mera Peak"|6470|Khumbu Himal (S of Ama Dablam)|N|86.8686622|27.7098398|86° 52′ 07.18392″ E|27° 42′ 35.42328″ N|"OSM: (27° 42′ 35.42328″ N, 86° 52′ 07.18392″ E)
MoTCA: (27° 42′ 31.00000″ N, 86° 52′ 14.00000″ E)"|BARUN
MING|Mingbo Ri||6207|Khumbu Himal (S of Ama Dablam and Mingbo La)|||||||KHUMBU
NALA|Nalakankar North|Nala Kankar|6062|Nalakankar Himal (on W Nepal/Tibetan border)|Y|81.4013889|30.3575|81° 24′ 05.00000″ E|30° 21′ 27.00000″ N|MoTCA: (30° 21′ 27.00000″ N, 81° 24′ 05.00000″ E)|NALAKANKAR
NAMP|Nampa|Chisel Peak|6729|Api Himal (E of Api)|Y|80.9969444|30.0041667|80° 59′ 49.00000″ E|30° 00′ 15.00000″ N|MoTCA: (30° 00′ 15.00000″ N, 80° 59′ 49.00000″ E)|YOKAPAHAR
NCHU|Nupchu|Sharphu IV|6172|Ohmi Kangri Himal (NW of Kangchenjunga)|Y|87.9202778|27.8152778|87° 55′ 13.00000″ E|27° 48′ 55.00000″ N|MoTCA: (27° 48′ 55.00000″ N, 87° 55′ 13.00000″ E)|JANAK
NEMJ|Nemjung||7140|Peri Himal (S of Himlung Himal and Himjung)|Y|84.4180556|28.7569444|84° 25′ 05.00000″ E|28° 45′ 25.00000″ N|MoTCA: (28° 45′ 25.00000″ N, 84° 25′ 05.00000″ E)|PERI
NEPA|Nepal Peak||7177|Jongsang Himal (N of Kangchenjunga on Indian border)|Y|88.1852778|27.7763889|88° 11′ 07.00000″ E|27° 46′ 35.00000″ N|MoTCA: (27° 46′ 35.00000″ N, 88° 11′ 07.00000″ E)|NORTHERN
NGO2|Ngojumba Kang II|Ngozumpa Kang I,Ngojumba Khang II,Ngojumba Kang|7743|Khumbu Himal (NE of Cho Oyu on Tibetan border)|N|86.6850856|28.1068465|86° 41′ 06.30816″ E|28° 06′ 24.64740″ N|"OSM: (28° 06′ 24.64740″ N, 86° 41′ 06.30816″ E)
MoTCA: (28° 06′ 23.00000″ N, 86° 42′ 31.00000″ E)"|KHUMBU
NGOJ|Ngojumba Kang I|Ngozumpa Kang I,Tenzing Peak,Ngozumba Ri,Ngojumba Khang II,Ngozumba Kang,Ngojumba Kang|7916|Khumbu Himal (NE of Cho Oyu on Tibetan border)|N|86.6850856|28.1068465|86° 41′ 06.30816″ E|28° 06′ 24.64740″ N|"OSM: (28° 06′ 24.64740″ N, 86° 41′ 06.30816″ E)
MoTCA: (28° 06′ 23.00000″ N, 86° 42′ 31.00000″ E)"|KHUMBU
NILC|Nilgiri Central||6940|Annapurna-Nilgiri Himal (NW of Annapurna I)|N|83.7353837|28.6783794|83° 44′ 07.38132″ E|28° 40′ 42.16584″ N|"OSM: (28° 40′ 42.16584″ N, 83° 44′ 07.38132″ E)
MoTCA: (28° 40′ 42.00000″ N, 83° 42′ 31.00000″ E)"|ANNAPURNA
NILN|Nilgiri North||7061|Annapurna-Nilgiri Himal (NW of Annapurna I)|N|83.7440554|28.689076|83° 44′ 38.59944″ E|28° 41′ 20.67360″ N|"OSM: (28° 41′ 20.67360″ N, 83° 44′ 38.59944″ E)
MoTCA: (28° 41′ 24.00000″ N, 83° 44′ 47.00000″ E)"|ANNAPURNA
NILS|Nilgiri South||6839|Annapurna-Nilgiri Himal (NW of Annapurna I)|N|83.7296456|28.6541082|83° 43′ 46.72416″ E|28° 39′ 14.78952″ N|"OSM: (28° 39′ 14.78952″ N, 83° 43′ 46.72416″ E)
MoTCA: (28° 39′ 17.00000″ N, 83° 43′ 56.00000″ E)"|ANNAPURNA
NUMB|Numbur||6958|Rolwaling Himal (SW of Namche Bazar)|N|86.572647|27.7542227|86° 34′ 21.52920″ E|27° 45′ 15.20172″ N|"OSM: (27° 45′ 15.20172″ N, 86° 34′ 21.52920″ E)
MoTCA: (27° 45′ 16.00000″ N, 86° 34′ 30.00000″ E)"|ROLWALING
NUPT|Nuptse|Nuptse I|7864|Khumbu Himal (SW of Everest)|N|86.887081|27.9679586|86° 53′ 13.49160″ E|27° 58′ 04.65096″ N|"OSM: (27° 58′ 04.65096″ N, 86° 53′ 13.49160″ E)
MoTCA: (27° 58′ 01.00000″ N, 86° 53′ 22.00000″ E)"|KHUMBU
OHMI|Ohmi Kangri||6839|Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border)|Y|87.9666667|27.8972222|87° 58′ 00.00000″ E|27° 53′ 50.00000″ N|MoTCA: (27° 53′ 50.00000″ N, 87° 58′ 00.00000″ E)|JANAK
OMBK|Ombak Himal||6300|Ohmi Kangri Himal (NE of Ombak La in Tibet)|||||||JANAK
PALD|Paldor|Paldor Peak,Bharange|5903|Ganesh Himal (SE of  Ganesh V)|N|85.1871278|28.2776048|85° 11′ 13.66008″ E|28° 16′ 39.37728″ N|"OSM: (28° 16′ 39.37728″ N, 85° 11′ 13.66008″ E)
MoTCA: (28° 16′ 40.00000″ N, 85° 11′ 03.00000″ E)"|GANESH
PANG|Pangbuk Ri||6625|Rolwaling Himal (N of Menlung La on Tibetan border)|Y|86.5222222|28.0052778|86° 31′ 20.00000″ E|28° 00′ 19.00000″ N|MoTCA: (28° 00′ 19.00000″ N, 86° 31′ 20.00000″ E)|ROLWALING
PARC|Parchamo|Pharchamo,Parchermo,Parchemuche,Pachermo|6279|Rolwaling Himal (S of Tesi Laptsa)|N|86.5472278|27.8377252|86° 32′ 50.02008″ E|27° 50′ 15.81072″ N|"OSM: (27° 50′ 15.81072″ N, 86° 32′ 50.02008″ E)
MoTCA: (27° 50′ 12.00000″ N, 86° 32′ 58.00000″ E)"|ROLWALING
PATR|Patrasi Himal|Patrasi,Kande Hiunchuli North|6450|Kanjiroba Himal (NE of Kande Huinchuli)|Y|82.5925|29.4211111|82° 35′ 33.00000″ E|29° 25′ 16.00000″ N|MoTCA: (29° 25′ 16.00000″ N, 82° 35′ 33.00000″ E)|KANJIROBA
PETH|Pethangtse||6739|Khumbu Himal (NW of Makalu on Tibetan border)|N|87.0152042|27.957236|87° 00′ 54.73512″ E|27° 57′ 26.04960″ N|"OSM: (27° 57′ 26.04960″ N, 87° 00′ 54.73512″ E)
MoTCA: (27° 57′ 27.00000″ N, 87° 01′ 06.00000″ E)"|MAKALU
PHUR|Phurbi Chhyachu|Phurbi Chyachu,Phurbi Chachu,Phurbi Ghyachu|6637|Jugal Himal (SE of Dorje Lhakpa on Tibetan border)|N|85.8674922|28.1260087|85° 52′ 02.97192″ E|28° 07′ 33.63132″ N|"OSM: (28° 07′ 33.63132″ N, 85° 52′ 02.97192″ E)
MoTCA: (28° 07′ 50.00000″ N, 85° 52′ 19.00000″ E)"|JUGAL
PIMU|Pimu|Pama Himal,Pamalka|6344|Rolwaling Himal (N of Tesi Laptsa)|Y|84.9511111|28.5802778|84° 57′ 04.00000″ E|28° 34′ 49.00000″ N|MoTCA: (28° 34′ 49.00000″ N, 84° 57′ 04.00000″ E)|SERANG
PISA|Pisang|Jong Ri,Pisang Peak|6091|Damodar Himal (N of Marysangdi Valley)|N|84.1880793|28.6490051|84° 11′ 17.08548″ E|28° 38′ 56.41836″ N|"OSM: (28° 38′ 56.41836″ N, 84° 11′ 17.08548″ E)
MoTCA: (28° 38′ 46.00000″ N, 84° 11′ 18.00000″ E)"|DAMODAR
PK29|Peak 29|Dr Harka Gurung Chuli,Dr. Harka Gurung Chuli,Ngadi Chuli,Dakura|7871|Manaslu Himal (S of Manaslu)|N|84.5672489|28.5039267|84° 34′ 02.09604″ E|28° 30′ 14.13612″ N|"OSM: (28° 30′ 14.13612″ N, 84° 34′ 02.09604″ E)
MoTCA: (28° 30′ 12.00000″ N, 84° 34′ 07.00000″ E)"|MANASLU
POIN|Pointed Peak||5850|Khumbu Himal (N of Cholatse, S of Tshola La)|||||||KHUMBU
POKA|Pokalde|Pokhalde|5780|Khumbu Himal (N of Ama Dablam)|N|86.8331902|27.9247682|86° 49′ 59.48472″ E|27° 55′ 29.16552″ N|"OSM: (27° 55′ 29.16552″ N, 86° 49′ 59.48472″ E)
MoTCA: (27° 55′ 28.00000″ N, 86° 50′ 09.00000″ E)"|KHUMBU
OMBG|Ombigaichen|Puma Dablam|6340|Khumbu Himal (SE of Ama Dablam)|Y|86.8858333|27.8525|86° 53′ 09.00000″ E|27° 51′ 09.00000″ N|MoTCA: (27° 51′ 09.00000″ N, 86° 53′ 09.00000″ E)|BARUN
PUMO|Pumori||7138|Khumbu Himal (WNW of Everest on Tibetan border)|N|86.8273988|28.0160417|86° 49′ 38.63568″ E|28° 00′ 57.75012″ N|"OSM: (28° 00′ 57.75012″ N, 86° 49′ 38.63568″ E)
MoTCA: (28° 00′ 54.00000″ N, 86° 49′ 50.00000″ E)"|KHUMBU
PUTH|Putha Hiunchuli|Dhaulagiri VII,Dhaulagiri|7246|Dhaulagiri Himal (W of Churen Himal)|N|83.4894884|28.6976088|83° 29′ 22.15824″ E|28° 41′ 51.39168″ N|"OSM: (28° 41′ 51.39168″ N, 83° 29′ 22.15824″ E)
MoTCA: (28° 44′ 52.00000″ N, 83° 08′ 53.00000″ E)"|DHAULAGIRI
PYRM|Pyramid Peak|Patibhara,Pathibhara Chuli,Pathibhara Khas|7140|Jongsang Himal (N of Kangchenjunga on Indian border)|N|88.173003|27.8205864|88° 10′ 22.81080″ E|27° 49′ 14.11104″ N|"OSM: (27° 49′ 14.11104″ N, 88° 10′ 22.81080″ E)
MoTCA: (27° 49′ 14.00000″ N, 88° 10′ 33.00000″ E)"|NORTHERN
RAKS|Raksha Urai|Raksha Urai III|6609|Raksha Urai Himal (ESE of Nampa)|Y|81.1288889|30.0058333|81° 07′ 44.00000″ E|30° 00′ 21.00000″ N|MoTCA: (30° 00′ 21.00000″ N, 81° 07′ 44.00000″ E)|YOKAPAHAR
RAMD|Ramdung|Ramdong Go|5900|Rolwaling Himal (W of Tesi Laptsa)|Y|86.4336111|27.8186111|86° 26′ 01.00000″ E|27° 49′ 07.00000″ N|MoTCA: (27° 49′ 07.00000″ N, 86° 26′ 01.00000″ E)|ROLWALING
RATH|Rathong||6682|Simhalila Himal (SW of Kabru on Indian border)|N|88.0897953|27.5946131|88° 05′ 23.26308″ E|27° 35′ 40.60716″ N|"OSM: (27° 35′ 40.60716″ N, 88° 05′ 23.26308″ E)
MoTCA: (27° 35′ 37.00000″ N, 88° 05′ 28.00000″ E)"|SINGALILA
ROCN|Roc Noir|Khang Sar Khang,Khangsar Kang|7485|Annapurna Himal (ENE of Annapurna I)|N|83.8629012|28.6108141|83° 51′ 46.44432″ E|28° 36′ 38.93076″ N|"OSM: (28° 36′ 38.93076″ N, 83° 51′ 46.44432″ E)
MoTCA: (28° 36′ 48.00000″ N, 83° 52′ 25.00000″ E)"|ANNAPURNA
ROKA|Rokapi|Kapchuli,Kap Chuli|6468|Api Himal (S of Nampa, Bobaye and Jethi Bahurani)|Y|81.0402778|29.8477778|81° 02′ 25.00000″ E|29° 50′ 52.00000″ N|MoTCA: (29° 50′ 52.00000″ N, 81° 02′ 25.00000″ E)|YOKAPAHAR
SAIE|Saipal East Humla||6925|Saipal Himal (NE of Saipal)|Y|81.5005556|29.8911111|81° 30′ 02.00000″ E|29° 53′ 28.00000″ N|MoTCA: (29° 53′ 28.00000″ N, 81° 30′ 02.00000″ E)|SAIPAL
SAIP|Saipal||7030|Saipal Himal|N|81.4934831|29.8881313|81° 29′ 36.53916″ E|29° 53′ 17.27268″ N|"OSM: (29° 53′ 17.27268″ N, 81° 29′ 36.53916″ E)
MoTCA: (29° 53′ 16.00000″ N, 81° 29′ 41.00000″ E)"|SAIPAL
SHAR|Shartse|Peak 38,Shartse II,Shar Tse II,Shanti Shikhar|7591|Khumbu Himal (E of Lhotse Shar on Tibetan border)|N|86.9646815|27.9556165|86° 57′ 52.85340″ E|27° 57′ 20.21940″ N|"OSM: (27° 57′ 20.21940″ N, 86° 57′ 52.85340″ E)
MoTCA: (27° 56′ 57.00000″ N, 86° 59′ 07.00000″ E)"|KHUMBU
SHA2|Shartse II|Peak 38,Junction Peak,Shar Tse II|7457|Khumbu Himal (E of Lhotse Shar on Tibetan border)|N|86.9646815|27.9556165|86° 57′ 52.85340″ E|27° 57′ 20.21940″ N|"OSM: (27° 57′ 20.21940″ N, 86° 57′ 52.85340″ E)
MoTCA: (27° 56′ 57.00000″ N, 86° 59′ 07.00000″ E)"|KHUMBU
SHEY|Shey Shikhar|Junction Peak|6139|Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli)|Y|82.7972222|29.2869444|82° 47′ 50.00000″ E|29° 17′ 13.00000″ N|MoTCA: (29° 17′ 13.00000″ N, 82° 47′ 50.00000″ E)|KANJIROBA
SING|Singu Chuli|Singu Chull,Fluted Peak|6501|Annapurna Himal (Annapurna Sanctuary)|N|83.8815063|28.5894888|83° 52′ 53.42268″ E|28° 35′ 22.15968″ N|"OSM: (28° 35′ 22.15968″ N, 83° 52′ 53.42268″ E)
MoTCA: (28° 35′ 14.00000″ N, 83° 53′ 06.00000″ E)"|ANNAPURNA
SISN|Sisne Himal|Sisne,Hiunchuli Patan|5911|Sisne Himal (SW of Juphal in Rukum)|N|82.3532695|29.7561396|82° 21′ 11.77020″ E|29° 45′ 22.10256″ N|"OSM: (29° 45′ 22.10256″ N, 82° 21′ 11.77020″ E)
MoTCA: (28° 49′ 40.00000″ N, 82° 37′ 07.00000″ E)"|GORAKH
SITA|Sita Chuchura||6611|Mukut Himal (ENE of Dhaulagiri II near French Pass)|N|83.4838316|28.782078|83° 29′ 01.79376″ E|28° 46′ 55.48080″ N|"OSM: (28° 46′ 55.48080″ N, 83° 29′ 01.79376″ E)
MoTCA: (28° 46′ 57.00000″ N, 83° 29′ 05.00000″ E)"|DHAULAGIRI
SNOW|Snow Peak||6530|Dhaulagiri Himal (E of Dhaulagiri II)|||||||DHAULAGIRI
SPHN|Sphinx|Pathibhara Phurba,Pathibhara East|6825|Jongsang Himal (NE of Pathibhara on Indian border)|Y|88.1902778|27.825|88° 11′ 25.00000″ E|27° 49′ 30.00000″ N|MoTCA: (27° 49′ 30.00000″ N, 88° 11′ 25.00000″ E)|NORTHERN
SPH1|Sharphu I|Tanga I|6433|Ohmi Kangri Himal (WNW of Kangchenjunga)|Y|87.9197222|27.7522222|87° 55′ 11.00000″ E|27° 45′ 08.00000″ N|MoTCA: (27° 45′ 08.00000″ N, 87° 55′ 11.00000″ E)|JANAK
