peak_number|peak_name|alt_names|himal|region|height|longitude|latitude|dms_longitude|dms_latitude|caravan_route
138|Jijang||Damodar|Manang|6111|84.0347222|28.7841667|84° 02′ 05.00000″ E|28° 47′ 03.00000″ N|Jomsom-Kagbeni-Tange-Teri la-Mustang La-BC/Kodo-Narphu-BC
139|Jobo Rinjang||Mahalangur|Solukhumbu/NC|6781|86.5652778|28.0661111|86° 33′ 55.00000″ E|28° 03′ 58.00000″ N|Lukla-Namche-Khumjung-Thame-Lunak-BC
140|Jomsom Himal||Damodar|Manang|6335|84.1558333|28.8408333|84° 09′ 21.00000″ E|28° 50′ 27.00000″ N|Besisahar-Koto-Meta-Naar-Jomsomkhola-BC/Jomsom-Kagbeni-Tangye-Kog-Teri la Pass-BC/Jomsom-Kagbeni-Lomanthang-Damodarkunkda-BC
141|Jongsang Peak||Janak|Taplejung/NC|7462|88.1380556|27.8811111|88° 08′ 17.00000″ E|27° 52′ 52.00000″ N|Taplejung-Kambachen-Pangpame-BC
142|Jyacchhung||Byas Risi|Darchula/NC|6388|81.0858333|30.1063889|81° 05′ 09.00000″ E|30° 06′ 23.00000″ N|Darchula-Changru-Tinkar River-BC
143|Kabru||Kanchanjunga|Taplejung/NI|7318|88.1136111|27.6080556|88° 06′ 49.00000″ E|27° 36′ 29.00000″ N|Taplejung-Yamphudin-Ramchaur-BC
144|Kabru Central||Kanchenjunga|Taplejung/NI|7412|88.1213889|27.6352778|88° 07′ 17.00000″ E|27° 38′ 07.00000″ N|Taplejung-Yamphuding-Tseram-BC
145|Kagmara||Kanjiroba|Dolpa|5978|82.7613889|29.1377778|82° 45′ 41.00000″ E|29° 08′ 16.00000″ N|Juphal-Dunai-Ringmo-Phoksundo-Kagmara la-BC/Jumla-Kaigaon-Kagmara la-BC
146|Kaipuchonam||Palchung|Mugu/NC|6329|82.7833333|29.7255556|82° 47′ 00.00000″ E|29° 43′ 32.00000″ N|Phoksundo-Bhijer-Pung Kharka-Chandi Khola-BC
147|Kalo Parbat||Mukut Himal|Dolpa|5387|83.4491667|28.8213889|83° 26′ 57.00000″ E|28° 49′ 17.00000″ N|Jomsom-Kagbeni-Saldang-Mukut Gaon-BC
148|Kambong Peak||Dhaulagiri|Myagdi|6570|83.3080556|28.6594444|83° 18′ 29.00000″ E|28° 39′ 34.00000″ N|Beni-Darbang-Muri-BC
149|Kanchenjunga Central||Kanchenjunga|Taplejung/NI|8473|88.1533333|27.6961111|88° 09′ 12.00000″ E|27° 41′ 46.00000″ N|Taplejung-Mamankhe-Yamphudin-Cheram-BC
150|Kanchenjunga||Kanchenjunga|Taplejung/NI|8586|88.15|27.7027778|88° 09′ 00.00000″ E|27° 42′ 10.00000″ N|Taplejung-Yamphudin-Ramachaur-BC
151|Kanchenjunga South||Kanchenjunga|Taplejung/NI|8476|88.1563889|27.6922222|88° 09′ 23.00000″ E|27° 41′ 32.00000″ N|Taplejung-Yamphudin-Ramachaur-BC
152|Kanchenjunga North||Kanchenjunga|Taplejung/NI|7938|88.1544444|27.7108333|88° 09′ 16.00000″ E|27° 42′ 39.00000″ N|Taplejung-Ghunsa-Lhonak-Pangpema-BC
153|Kande Hiun Chuli||Patrasi|Mugu/Jumla/Dolpa|6627|82.5602778|29.4113889|82° 33′ 37.00000″ E|29° 24′ 41.00000″ N|Jumla-Talpe-Chaudabise Khola BC
154|Kang Garu||Peri|Manang|6981|84.3041667|28.6586111|84° 18′ 15.00000″ E|28° 39′ 31.00000″ N|Besisahar-Dharapani-Koto-Phu-BC
155|Kang Kuru||Damodar|Mustang/Manang|6355|84.1861111|28.9013889|84° 11′ 10.00000″ E|28° 54′ 05.00000″ N|Besisahar-Dharapani-Koto-Phu-BC
156|Kangbachen||Kanchenjunga|Taplejung|7902|88.1127778|27.7163889|88° 06′ 46.00000″ E|27° 42′ 59.00000″ N|Taplejung-Ghunsa-Pangpeme-BC
157|Kangfu Gaton Kanta Gaton||Kanjirowa|Dolpa|5910|82.9958333|29.1033333|82° 59′ 45.00000″ E|29° 06′ 12.00000″ N|Juphal or Jumla-MaduwaBC
158|Kanjerawa|Kanjeralwa|Kanjiroba|Dolpa|6612|82.87|29.23|82° 52′ 12.00000″ E|29° 13′ 48.00000″ N|Juphal-Dunai-Phoksundo Tal-BC
159|Kanjiroba South||Kanjiroba|Dolpa|6883|82.6405556|29.3755556|82° 38′ 26.00000″ E|29° 22′ 32.00000″ N|Juphal-or Jumla-Hurrikot-Jagdul Col-des Anglais-BC
160|Kanjiroba North||kanjiroba|Mugu/Dolpa|6858|82.6433333|29.3838889|82° 38′ 36.00000″ E|29° 23′ 02.00000″ N|Nepalganj-Jumla-Hurrikot-Jagdul-Col des Anglais-BC
161|Kanti Himal East||Kanti|Mugu/NC|6516|82.7022222|29.8530556|82° 42′ 08.00000″ E|29° 51′ 11.00000″ N|Jumla-Gamgadi-Shilen Chaur-Mugu-Kogi Chwa Khola-BC
162|Kanti Himal||Kanti Himal|Mugu/NC|6850|82.7536111|29.7663889|82° 45′ 13.00000″ E|29° 45′ 59.00000″ N|Jumla-Gamdadi-Mugu-BC
163|Kaptang||Kanti Himal|Mugu/NC|5965|82.5736111|29.9269444|82° 34′ 25.00000″ E|29° 55′ 37.00000″ N|Jumla-Gamgdi-Mugu-BC
164|Karko||Saipal|Bajhang|6015|81.2191667|29.9202778|81° 13′ 09.00000″ E|29° 55′ 13.00000″ N|Chainpur-Talkot-Kaga-Saingaon-Gharphu-Odar-BC
165|Karyolung||Rolwalling|Solukhumbu|6530|86.6141667|27.7333333|86° 36′ 51.00000″ E|27° 44′ 00.00000″ N|Lukla-Lumding Kharka-BC
166|Kasi Dalpha||Kanjiroba|Jumla/Dolpa|6386|82.5547222|29.2830556|82° 33′ 17.00000″ E|29° 16′ 59.00000″ N|Jumla-Talphi-Chaudebesi Khola BC
167|Kesang Khang|UAAA Peak,Karsang Kang|Mustang|Mustang|6476|84.1694444|28.9333333|84° 10′ 10.00000″ E|28° 55′ 60.00000″ N|Jomson-Kagbeni-Lomanthang-Tangye-BC
168|Khambachen East||Kanchenjunga|Taplejung/NI|7784|88.1580556|27.7175|88° 09′ 29.00000″ E|27° 43′ 03.00000″ N|Taplejung-Ghunsa-Lhonak-Pangpema-BC
169|Khang Karpo||Rolwaling|Dolakha/Solukhumbu/NC|6646|86.5180556|27.8730556|86° 31′ 05.00000″ E|27° 52′ 23.00000″ N|Ktm-Charikot-Simi Gaon-Beding-BC or via Lama Bagar
170|Khang Nagchugo||Gaurishankar|Dolakha/NC|6737|86.4447222|27.9061111|86° 26′ 41.00000″ E|27° 54′ 22.00000″ N|Charikot-Simi Gaon Beding-BC
171|Khang Sar Khang||Annapurna|Kaski/Myagdi/Manang|7485|83.8736111|28.6133333|83° 52′ 25.00000″ E|28° 36′ 48.00000″ N|Besisahar-Manang-Tilicho Lake-BC
172|Khang Tokal||Kanjiroba|Dolpa|6294|83.1686111|28.7997222|83° 10′ 07.00000″ E|28° 47′ 59.00000″ N|Juphal-Tarakot-Kakot-BC
173|Khangchung|UIAA Peak|Mahalangur|Solukhumbu|6063|86.7397222|27.9836111|86° 44′ 23.00000″ E|27° 59′ 01.00000″ N|Luk-Namche-Dzongla/Gokyo BC
174|Khangri Shar||Mahalangur|Solukhumbu/NC|6792|86.8152778|28.0188889|86° 48′ 55.00000″ E|28° 01′ 08.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
175|Khangri West||Mahalangur|Solukhumbu/NC|6621|86.7975|28.0205556|86° 47′ 51.00000″ E|28° 01′ 14.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
176|Khangsar Khang West|Herzog Peak|Annapurna|Myagdi/Kaski|7555|83.8602778|28.6091667|83° 51′ 37.00000″ E|28° 36′ 33.00000″ N|Pokhara-Chumrung-MBC-BC
177|Khangtega||Khumbu|Solukhumbu|6783|86.8194444|27.7925|86° 49′ 10.00000″ E|27° 47′ 33.00000″ N|Lukla-Zartlawa-Tangnag-Khare-BC/Lukla-Namche-Tyangboche-BC
178|Khatang||Rolwaling|Solukhumbu|6790|86.5983333|27.7575|86° 35′ 54.00000″ E|27° 45′ 27.00000″ N|Lukla-Ghat-Mora la-Lumding Kharka-BC
179|Khatung Khang||Patrung Himal|Mustang/Manang|6484|83.9213889|28.7769444|83° 55′ 17.00000″ E|28° 46′ 37.00000″ N|Jomsom-Muktinath-Thorang La-BC
180|Khayang||Mansiri|Gorkha/NC|6186|84.7158333|28.6333333|84° 42′ 57.00000″ E|28° 38′ 00.00000″ N|Besisahar-Tilje-Samagaon-BC
181|Khiurikala||Saipal|Bajhang|5806|81.2730556|29.97|81° 16′ 23.00000″ E|29° 58′ 12.00000″ N|Chainpur-Talkot-Dulu-BC
182|Khongma Tse|Mehra|Khumbu|Solukhumbu|5849|86.8505556|27.9477778|86° 51′ 02.00000″ E|27° 56′ 52.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
183|Khumbu Tse||Mahalangur|Solukhumbu/NC|6639|86.875|28.0205556|86° 52′ 30.00000″ E|28° 01′ 14.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
184|Khumjung||Damodar|Mustang/Manang|6759|84.1291667|28.8888889|84° 07′ 45.00000″ E|28° 53′ 20.00000″ N|Jomsom-Tange-Dhey-BC/Jomsom-Lomanthang-Damodar Kunda-BC
185|Khung||Palchung|Dolpa/NC|6024|83.1441667|29.6247222|83° 08′ 39.00000″ E|29° 37′ 29.00000″ N|Jufal-Phoksundo-Saldan-Lunchun-Khun Khola-BC
186|Kirat Chuli|Tent Peak|Kangchenjunga|Taplejung/NI|7362|88.1983333|27.7886111|88° 11′ 54.00000″ E|27° 47′ 19.00000″ N|Taplejung-Ghunsa-Lonak-BC
187|Kogi Khang North||Kanti|Mugu/NC|6275|82.7391667|29.8144444|82° 44′ 21.00000″ E|29° 48′ 52.00000″ N|Jumla-Gamgadi-Shilen Chaur-Mugu-Kogi Khola-BC
188|Kojichwa Chuli||Kanti Himal|Mugu/NC|6439|82.6436111|29.8655556|82° 38′ 37.00000″ E|29° 51′ 56.00000″ N|Jumla-Gamgdi-Mugu-BC
189|Kojichwa South||Kanti|Mugu/NC|6264|82.6311111|29.8486111|82° 37′ 52.00000″ E|29° 50′ 55.00000″ N|Jumla-Gamgadi-Shilen Chaur-Mugu-Kogi Chwa Khola-BC
190|Kokthang||Kanchanjunga|Taplejung/NI|6148|88.0825|27.5636111|88° 04′ 57.00000″ E|27° 33′ 49.00000″ N|Taplejung-Yamphudin-Ramchaur-BC
191|Korlang Pari Tippa||Rolwaling|Dolakha/NC|5738|86.1911111|28.1733333|86° 11′ 28.00000″ E|28° 10′ 24.00000″ N|Jagat-Lambagar-Lapchegaun-Kidibu Khola-BC
192|Kumbhakarna|Jannu|Kanchenjunga|Taplejung|7711|88.0463889|27.6822222|88° 02′ 47.00000″ E|27° 40′ 56.00000″ N|Taplejung-Yamfudin-Ramchaur-BC
193|Kusum Kanguru||Khumbu|Solukhumbu|6360|86.7911111|27.7305556|86° 47′ 28.00000″ E|27° 43′ 50.00000″ N|Lukla-Phakding-Monjo-BC/Lukla-Chhatrala-Thaknag-BC
194|Kwangde||Rolwaling|Solukhumbu|6086|86.6344444|27.8002778|86° 38′ 04.00000″ E|27° 48′ 01.00000″ N|Lukla-Phakding-Lumding Kharka-BC/Lukla-Namche-BC
195|Kyabura||Kanchenjunga|Taplejung/NC|6466|88.0241667|27.8963889|88° 01′ 27.00000″ E|27° 53′ 47.00000″ N|Taplejung-Ghunsa-Lonak-BC
196|Kyashar|Peak 43|Mahalangur-Makalu|Solukhumbu|6770|86.825|27.7552778|86° 49′ 30.00000″ E|27° 45′ 19.00000″ N|Lukla-Chhatrala pass-Kote-Thaknak-BC
197|Kyazo Ri||Mahalangur|Solukhumbu|6151|86.6730556|27.9088889|86° 40′ 23.00000″ E|27° 54′ 32.00000″ N|Lukla-Namche-Khumjung-Gyajo-BC/Mende-Gyajo-BC
198|Kyungka Ri 1||Langtang|Rasuwa|6599|85.6705556|28.2963889|85° 40′ 14.00000″ E|28° 17′ 47.00000″ N|Dhunche-Kyanjing-Langsisha Kharka-BC
199|Kyungka Ri 2||Langtang|Rasuwa/NC|6506|85.6647222|28.3033333|85° 39′ 53.00000″ E|28° 18′ 12.00000″ N|Dhunche-Kyanjing-Langsisha Kharka-BC
200|Lachama Chuli||Changla Himal|Humla/NC|6721|82.2005556|30.1363889|82° 12′ 02.00000″ E|30° 08′ 11.00000″ N|Simikot-Chuwa Khola-Lachhama Khola-BC
201|Lachama North||Changla|Humla/NC|6628|82.2|30.1433333|82° 12′ 00.00000″ E|30° 08′ 36.00000″ N|Ktm-Nepalganj-Simikot-Chuwa Khola-Lachama Khola-BC
202|Lamjung Himal||Annapurna|Kaski/Manang|6983|84.1911111|28.4891667|84° 11′ 28.00000″ E|28° 29′ 21.00000″ N|Begnas-Sisuwa-Shiklish-BC/Hynja-Shiklish-BC
203|Langchung Khang||Kanchanjunga|Taplejung/NI|6786|88.1813889|27.8561111|88° 10′ 53.00000″ E|27° 51′ 22.00000″ N|Taplejung-Ghunsa-Lonak-BC
204|Langdak||Rolwaling|Solukhumbu|6220|86.5636111|27.9169444|86° 33′ 49.00000″ E|27° 55′ 01.00000″ N|Charikot-Simigaun-Beding-Na-Rolwalingglacier-BC
205|Langdung||Rolwaling|Dolakha/NC|6326|86.4841667|27.9477778|86° 29′ 03.00000″ E|27° 56′ 52.00000″ N|Ktm-Charikot-Simigaon-Beding-BC
206|Langju||Puchen|Gorkha|6426|85.0552778|28.5458333|85° 03′ 19.00000″ E|28° 32′ 45.00000″ N|Arughat-Jagat-Tsum Valley-Nile-BC
207|Langmoche Ri||Mahalangur|Dolakha/Solukhumbu|6617|86.555|27.8672222|86° 33′ 18.00000″ E|27° 52′ 02.00000″ N|Lukla-Namche-Khumjung-Thame-Bc
208|Langpo Peak||Kanchanjunga|Taplejung/NI|6965|88.1988889|27.8533333|88° 11′ 56.00000″ E|27° 51′ 12.00000″ N|Taplejung-Ghunsa-Pangpema-BC
209|Langsisa Ri||Jugal|Rasuwa|6412|85.7163889|28.2169444|85° 42′ 59.00000″ E|28° 13′ 01.00000″ N|Dhunche-Kyanging-BC
210|Langtang Lirung||Langtang|Rasuwa|7227|85.5194444|28.2561111|85° 31′ 10.00000″ E|28° 15′ 22.00000″ N|Syabrubeshi-Lama Hotel-Kyanging-BC
211|Langtang Ri||Langtang|Rasuwa/NC|7205|85.6863889|28.3822222|85° 41′ 11.00000″ E|28° 22′ 56.00000″ N|Syabrubeshi-Langtang-Langsisa Kharkha-BC
212|Lapuchun||Tanje|Gorkha/NC|5960|84.8591667|28.5705556|84° 51′ 33.00000″ E|28° 34′ 14.00000″ N|Arughat-Jagat-Bigh Gaon-Sherang Gomba-BC
213|Larkya Peak||Manaslu|Manang/Gorkha|6416|84.545|28.6269444|84° 32′ 42.00000″ E|28° 37′ 37.00000″ N|Arughat-Samagaon-Samdo-BC/Besisahar-Bhimthang-Larkey-BC
214|Lasa||Byas Risi|Darchula/NC|6189|81.0841667|30.1358333|81° 05′ 03.00000″ E|30° 08′ 09.00000″ N|Darchula-Changru-Tinkar River-BC
215|Leonpo Gang||Jugal|Rasuwa/Sindhupalchowk/NC|6979|85.8019444|28.1955556|85° 48′ 07.00000″ E|28° 11′ 44.00000″ N|Shyarubesi-Kyanjing-Langshisa Kharka-BC
216|Leonpo Gang East||Jugal|Sindhupalchok/NC|6733|85.8177778|28.2025|85° 49′ 04.00000″ E|28° 12′ 09.00000″ N|Chautara-Barabise-Pembathang-Panchpokhari-Naya Masal Khola-BC
217|Lhasharma||Kanjirowa|Dolpa|6412|82.7472222|29.2258333|82° 44′ 50.00000″ E|29° 13′ 33.00000″ N|Juphal-Santowa-Kagmara-la-BC
218|Lhayul Peak||Api Himal|Darchula|6395|80.8688889|29.9761111|80° 52′ 08.00000″ E|29° 58′ 34.00000″ N|Darchula-Gokule-Ghusa-Chamlaya-Nadi-Tudadera-BC
219|Lhotse||Khumbu|Solukhumbu/NC|8516|86.9366667|27.9619444|86° 56′ 12.00000″ E|27° 57′ 43.00000″ N|Lukla-Namche-Khumjung-Lobuche-BC
220|Lhotse Middle||Mahalangur|Solukhumbu/NC|8410|86.9408333|27.9611111|86° 56′ 27.00000″ E|27° 57′ 40.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
221|Lhotse Shar||Khumbu|Solukhumbu/NC|8382|86.9455556|27.9583333|86° 56′ 44.00000″ E|27° 57′ 30.00000″ N|Lukla-Namche-Khumjung-Dingboche-Chukung-BC
222|Lhonak|Rifil Peak|Kanchenjunga|Taplejung|6070|88.0572222|27.8319444|88° 03′ 26.00000″ E|27° 49′ 55.00000″ N|Taplejung-GhunsaKhambachen-BC
223|Lingtren||Mahalangur|Solukhumbu/NC|6713|86.8572222|28.0275|86° 51′ 26.00000″ E|28° 01′ 39.00000″ N|Lukla-Namche-Khumjung-Dingboche-Lobuche-BC
224|Likhu Chuli I|Pig Pherago Shar|Mahalangur|Solukhumbu/Ramechhap/Dolakha|6719|86.5447222|27.8111111|86° 32′ 41.00000″ E|27° 48′ 40.00000″ N|Charikot-Beding-Chobuk-BC/Namche-Thame-Thengpo-BC
225|Likhu Chuli II|Pig Pherago Nup|Mahalangur|Dolkha/Ramechhap|6659|86.5261111|27.805|86° 31′ 34.00000″ E|27° 48′ 18.00000″ N|Charikot-Beding-Chobuk-BC/Namche-Thame-Thengpo-BC
226|Lobuje East||Khumbu|Solukhumbu|6090|86.7930556|27.9583333|86° 47′ 35.00000″ E|27° 57′ 30.00000″ N|Lukla-Namche-Khumjung-Lobuche-BC/Gokyo-Dzonghla-BC
227|Lobuje West||Khumbu|Solukhumbu|6135|86.7847222|27.9688889|86° 47′ 05.00000″ E|27° 58′ 08.00000″ N|Lukla-Namche-Khumjung-Lobuche-BC/Gokyo-Dzonghla-BC
228|Loshar I||Kanchenjunga|Taplejung/NC|6842|88.0566667|27.8961111|88° 03′ 24.00000″ E|27° 53′ 46.00000″ N|Taplejung-Ghunsa-Lonak-Tshima Glacier-BC
229|Loshar II||Kanchenjunga|Taplejung/NC|6803|88.0669444|27.8861111|88° 04′ 01.00000″ E|27° 53′ 10.00000″ N|Taplejung-Ghunsa-Lonak-Tshima Glacier-BC
230|Lugula||Lugula|Manang/NC|6899|84.2616667|28.8961111|84° 15′ 42.00000″ E|28° 53′ 46.00000″ N|Besisahar-Chame-Nar-Phu-Naguro-BC
231|Lumba Sumba Peak||Kanchenjunga|Sankhuwasabha/Taplejung|5740|87.6419444|27.71|87° 38′ 31.00000″ E|27° 42′ 36.00000″ N|Taplejung-Chiruwa-Olangchungola-BC
232|Lung Sampa||Mahalangur|Solukhumbu|6500|86.6613889|28.0527778|86° 39′ 41.00000″ E|28° 03′ 10.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC
233|Lungchhung||Palchung|Dolpa/NC|6043|83.1222222|29.6283333|83° 07′ 20.00000″ E|29° 37′ 42.00000″ N|Jufal-Phoksundo-Saldan-Lunchun-Khun Khola-BC
234|Luza Peak||Mahalangur|Solukhumbu|5710|86.6966667|27.8877778|86° 41′ 48.00000″ E|27° 53′ 16.00000″ N|Lukla-Namche-Khumjung-Dole-Luza-BC
235|Machermo||Mahalangur|Solukhumbu|5559|86.6955556|27.8958333|86° 41′ 44.00000″ E|27° 53′ 45.00000″ N|Lukla-Namche-Khumjung-Machharmo-BC
236|Makalu I||Mahalangur|Sankhuwasabha/NC|8485|87.0908333|27.8891667|87° 05′ 27.00000″ E|27° 53′ 21.00000″ N|Tumlingtar-Chichila-Num-Yak Kharkha-BC
237|Makalu II|Kangchug Tse|Mahalangur|Sankhuwasabha/NC|7678|87.0805556|27.9155556|87° 04′ 50.00000″ E|27° 54′ 56.00000″ N|Tumlingtar-Chichila-Num-Yangle Kharkha-BC
238|Malanphulan||Mahalangur|Solukhumbu|6573|86.8722222|27.8027778|86° 52′ 20.00000″ E|27° 48′ 10.00000″ N|Lukla-Namche-Pangboche-Mingbu-BC
239|Manapathi||Dhaulagiri|Myagdi|6380|83.4588889|28.6455556|83° 27′ 32.00000″ E|28° 38′ 44.00000″ N|Beni-Darbang-Muri-BC
240|Manaslu||Mansiri|Manang/Gorkha|8163|84.5616667|28.5502778|84° 33′ 42.00000″ E|28° 33′ 01.00000″ N|Arughat-Jagat-Sama gaon-BC
241|Manaslu North||Mansiri|Manang/Gorkha|6994|84.5505556|28.5777778|84° 33′ 02.00000″ E|28° 34′ 40.00000″ N|Arughat-Jagat-Sama gaon-BC
242|Mansail||Damodar|Mustang/NC|6242|83.3019444|29.3019444|83° 18′ 07.00000″ E|29° 18′ 07.00000″ N|Pokhara-Jomsom-Lomanthang-Chhonhup-BC
243|Mansail South||Damodar|Mustang/NC|6251|83.8102778|29.2944444|83° 48′ 37.00000″ E|29° 17′ 40.00000″ N|Pokhara-Jomsom-Lomanthang-BC
244|Mardi Himal||Annapurna|Kaski|5553|83.9308333|28.4730556|83° 55′ 51.00000″ E|28° 28′ 23.00000″ N|Hyangja-Dhiprang-Kharka-BC
245|Mariayang West||Palchung|Dolpa/NC|6455|82.8755556|29.6894444|82° 52′ 32.00000″ E|29° 41′ 22.00000″ N|Jufal-Shey Phoksundo-Bhijer-Tankya Khola-BC
246|Mariyang||Kanjiroba|Dolpa/NC|6528|82.8888889|29.6933333|82° 53′ 20.00000″ E|29° 41′ 36.00000″ N|Juphal-Phuksundo-Shey Gompa-Phopa Gaon-Swaksa Khola-BC
247|Mayung Thang Khang||Kanti|Mugu/NC|6449|82.7466667|29.7697222|82° 44′ 48.00000″ E|29° 46′ 11.00000″ N|Jumla-Gamgadi-Thaju Chaur-Takla Khola-BC
248|MDM Peak|Tsisima|Kanchenjunga|Taplejung|6196|88.0405556|27.8630556|88° 02′ 26.00000″ E|27° 51′ 47.00000″ N|Taplejung-Ghunsa-Lonak-Tshima Glacier-BC
249|Mera Peak||Khumbu|Solukhumbu|6470|86.8705556|27.7086111|86° 52′ 14.00000″ E|27° 42′ 31.00000″ N|Lukla-Chhatrala-Thanknak-Khare-BC/Jiri-Sete-Kharikhola-Pangkhongma-Khare-BC
250|Mera South||Mahalangur|Solukhumbu|6064|86.895|27.7011111|86° 53′ 42.00000″ E|27° 42′ 04.00000″ N|Lukla-Thaknag-Dig Kharka-Khare--BC
251|Merra||Kanchenjunga|Taplejung|6334|88.0197222|27.7408333|88° 01′ 11.00000″ E|27° 44′ 27.00000″ N|Taplejung-Ghunsa-Lonak-Tshima Glacier-BC
252|Mojka Peak||Kanchenjunga|Taplejung|6024|88.0505556|27.7705556|88° 03′ 02.00000″ E|27° 46′ 14.00000″ N|Taplejung-Ghunsa-Lonak-Tshima Glacier-BC
253|Mukot Himal||Dhaulagiri|Dolpa/Mustang|6087|83.4822222|28.8169444|83° 28′ 56.00000″ E|28° 49′ 01.00000″ N|Pokhara-Beni-Marpha-BC
254|Mustang Himal||Damodar|Mustang/NC|6195|83.81|29.2861111|83° 48′ 36.00000″ E|29° 17′ 10.00000″ N|Pokhara-Jomsom-Lomanthang-BC
255|Nagpai Gosum I||Mahalangur|Solukhumbu/NC|7350|86.6377778|28.0705556|86° 38′ 16.00000″ E|28° 04′ 14.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC/Thame-Tarnga-Lunak-BC
256|Nagpai Gosum II||Mahalangur|Solukhumbu/NC|7307|86.6525|28.0747222|86° 39′ 09.00000″ E|28° 04′ 29.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC/Thame-Lunak-BC
257|Nala Kankar||Nalakankar|Humla/NC|6062|81.4013889|30.3575|81° 24′ 05.00000″ E|30° 21′ 27.00000″ N|Simikot-Kermi-Nyula-Takchen-Gyau Khola-BC
258|Nampa||Gurans|Darchula|6729|80.9969444|30.0041667|80° 59′ 49.00000″ E|30° 00′ 15.00000″ N|Baitadi-Gokuleswor-Chamalia Khola-Ghusa-BC/Bajang-Talkot-Kada-Dahachaur-Baiyeli Khola-BC
259|Nampa II||Gurans|Darchula|6585|80.9597222|30.0127778|80° 57′ 35.00000″ E|30° 00′ 46.00000″ N|Baitadi-Gokuleswor-Chamalia Khola-Ghusa-BC/Bajang-Talkot-Kada-Dahachaur-Baiyeli Khola-BC
260|Nampa III||Gurans|Darchula/Bajhang|6611|81.0169444|29.9808333|81° 01′ 01.00000″ E|29° 58′ 51.00000″ N|Baitadi-Gokuleswor-Chamalia Khola-Ghusa-BC/Bajang-Talkot-Kada-Dahachaur-Baiyeli Khola-BC
261|Nampa South||Byas-Rikhi|Darchula|6180|80.9966667|29.9858333|80° 59′ 48.00000″ E|29° 59′ 09.00000″ N|Baitadi-Gokuleswor-Chamalia Khola-Ghusa-BC/Bajang-Talkot-Kada-Dahachaur-Baiyeli Khola-BC
262|Nangamari II||Kanchanjunga|Taplejung|6209|87.8672222|27.8913889|87° 52′ 02.00000″ E|27° 53′ 29.00000″ N|Taplejung-Sekhathum-Yanma-BC
263|Nangamari I||Kanchanjunga|Taplejung/NC|6547|87.8686111|27.9105556|87° 52′ 07.00000″ E|27° 54′ 38.00000″ N|Taplejung-Sekhathum-Yanma-BC
264|Nar Phu||Damodar|Manang|5921|84.1238889|28.7169444|84° 07′ 26.00000″ E|28° 43′ 01.00000″ N|Besisahar-Koto-Nar-Khangla pass-BC/Pisang-Ngawal-BC
265|Naulekh||Mahalangur|Solukhumbu|6340|86.9047222|27.6869444|86° 54′ 17.00000″ E|27° 41′ 13.00000″ N|Lukla-Chhatrala-Dig Kharkha-BC
266|Nemjung||Manang|Manang|7140|84.4180556|28.7569444|84° 25′ 05.00000″ E|28° 45′ 25.00000″ N|Besisahar-Koto-Phu Gaon-BC
267|Nepal Gyap Peak||Kanchenjunga|Taplejung/NI|7007|88.1808333|27.7463889|88° 10′ 51.00000″ E|27° 44′ 47.00000″ N|Taplejung-Ghunsa-Lhonak-Pangpema-BC
268|Nepal Peak||Kanchenjunga|Taplejung/NI|7177|88.1852778|27.7763889|88° 11′ 07.00000″ E|27° 46′ 35.00000″ N|Taplejung-Ghunsa-Lonak-BC
269|Ngojumba Khang II||Khumbu|Solukhumbu/NC|7743|86.7086111|28.1063889|86° 42′ 31.00000″ E|28° 06′ 23.00000″ N|Lukla-Namche-Khumjung-Machharmo-Gokyo-BC
270|Nheserku|Chhukpu|Mahalangur|Solukhumbu|5897|86.6030556|27.9188889|86° 36′ 11.00000″ E|27° 55′ 08.00000″ N|Lukla-Namche-Khumjung-Thame-Arya-BC
271|Nilgiri Central||Nilgiri|Myagdi/Mustang|6940|83.7086111|28.6783333|83° 42′ 31.00000″ E|28° 40′ 42.00000″ N|Tatopani-Lete-Thulo Buggini-BC/Jomsom-Thini-BC
272|Nilgiri North||Nilgiri|Myagdi/Mustang|7061|83.7463889|28.69|83° 44′ 47.00000″ E|28° 41′ 24.00000″ N|Tatopani-Lete-Thulo Buggini-BC/Jomsom-Thini-BC
273|Nilgiri South||Nilgiri|Myagdi/Mustang|6839|83.7322222|28.6547222|83° 43′ 56.00000″ E|28° 39′ 17.00000″ N|Tatopani-Lete-Thulo Buggini-BC/Jomsom-Thini-BC
274|Nirekha Peak||Mahalangur|Solukhumbu|6159|86.7652778|27.9775|86° 45′ 55.00000″ E|27° 58′ 39.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC/Dingboche-Lobuche-BC
275|Norbu Khang||Kanjirowa|Dolpa|6085|83.0747222|29.1191667|83° 04′ 29.00000″ E|29° 07′ 09.00000″ N|Jhufal-Dunai-Lagna Odar-BC/Dho-Numla-BC
